X1,id,host_is_superhost,host_response_rate,host_response_time,host_listings_count,host_identity_verified,accommodates,neighbourhood_group_cleansed,property_type,room_type,latitude,longitude,guests_included,bathrooms,bedrooms,beds,bed_type,amenities,cleaning_fee,minimum_nights,maximum_nights,instant_bookable,cancellation_policy,price
5460,22146017,FALSE,99%,within an hour,521,FALSE,5,Downtown,Apartment,Entire home/apt,47.61216281,-122.338239,4,2,2,2,Real Bed,"{TV,Internet,Wifi,Kitchen,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",Keypad,""Private living room""}",$129.00,2,1125,TRUE,strict,$279.00
4143,18638163,TRUE,100%,within an hour,1,TRUE,2,Queen Anne,House,Entire home/apt,47.64082715,-122.3552478,1,1,0,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Full kitchen""}",$50.00,2,30,TRUE,moderate,$99.00
5802,22734110,TRUE,100%,within an hour,1,FALSE,4,Rainier Valley,Guest suite,Entire home/apt,47.54900722,-122.273951,2,1,1,2,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",""Private entrance"",""Room-darkening shades"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony""}",$25.00,2,28,FALSE,moderate,$75.00
776,3946674,TRUE,90%,within a few hours,1,TRUE,2,Central Area,House,Private room,47.60192242,-122.3079787,1,1,1,1,Real Bed,"{Internet,Wifi,Kitchen,""Pets live on this property"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",""Hot water"",Other}",$0.00,2,30,FALSE,flexible,$70.00
6064,23610186,TRUE,100%,within an hour,4,TRUE,8,Beacon Hill,House,Entire home/apt,47.5523114,-122.2934087,6,2.5,3,3,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",""Smoking allowed"",Breakfast,""Free street parking"",""Hot tub"",""Indoor fireplace"",Heating,""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",""Private entrance"",""Luggage dropoff allowed""}",$99.00,2,12,FALSE,flexible,$242.00
2757,13533608,FALSE,100%,within a few hours,4,TRUE,8,Magnolia,Townhouse,Entire home/apt,47.64993782,-122.3831922,6,3.5,3,3,Real Bed,"{TV,Wifi,Kitchen,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock""}",$100.00,2,1125,FALSE,strict_14_with_grace_period,$430.00
7786,29396738,TRUE,100%,within an hour,1,FALSE,3,Other neighborhoods,Bungalow,Private room,47.67850804,-122.365246,2,1,1,2,Real Bed,"{TV,Wifi,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Garden or backyard"",""Luggage dropoff allowed"",""Wide doorway"",""Wide entryway"",""Handheld shower head""}",$20.00,1,8,FALSE,moderate,$60.00
7012,26667492,FALSE,100%,within an hour,9,FALSE,4,Downtown,Condominium,Entire home/apt,47.61281935,-122.3289727,2,1,1,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Pack ’n Play/travel crib"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",Other}",$50.00,3,1125,TRUE,strict_14_with_grace_period,$125.00
6019,23417458,TRUE,100%,within an hour,2,FALSE,2,Downtown,Apartment,Entire home/apt,47.60628107,-122.339739,2,1,1,1,Real Bed,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,""Pets allowed"",Gym,Elevator,""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Long term stays allowed"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Step-free access"",Waterfront,""Paid parking on premises""}",$110.00,1,1125,TRUE,strict_14_with_grace_period,$225.00
3766,17465443,FALSE,99%,within an hour,152,FALSE,2,Downtown,Loft,Entire home/apt,47.61255117,-122.3204541,1,1.5,1,1,Real Bed,"{TV,Internet,Wifi,Kitchen,Gym,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad}",$89.00,2,1125,FALSE,strict_14_with_grace_period,$219.00
